character_id,voice_actor_id,voice_actor_name,voice_actor_language
213645,61,"Saitou, Chiwa",Japanese
213645,74635,"Marie, Maganda",English
254323,11833,"Sawada, Toshiko",Japanese
255451,63790,"Furuya, Anan",Japanese
255451,60310,"Casey, Kamen",English
213641,24265,"Tanaka, Minami",Japanese
213641,71106,"Flatley, Monica",English
253400,11030,"Anzai, Chika",Japanese
253400,51274,"Roberts, Brianna",English
213643,26705,"Kobayashi, Yuusuke",Japanese
213643,44242,"Gallardo, Ethan",English
213642,17215,"Tanezaki, Atsumi",Japanese
213642,74379,"Norton, Madeleine",English
242644,12041,"Ookubo, Rumi",Japanese
242644,9091,"Tipton, Alexis",English
242643,39366,"Koichi, Makoto",Japanese
242643,45130,"Glass, Rachel",English
213718,118,"Kamiya, Hiroshi",Japanese
213718,66380,"Markgraf, Nicholas",English
242642,48122,"Suzushiro, Sayumi",Japanese
242642,44273,"Thompson, Rachel",English
253566,46861,"Aizawa, Saya",Japanese
253566,46307,"Peterson, Jessica",English
254168,1436,Mugihito,Japanese
255282,294,"Saitou, Kimiko",Japanese
252520,11297,"Minase, Inori",Japanese
252520,53629,"Perez, Celeste",English
255609,9677,"Mamiya, Yasuhiro",Japanese
253564,720,"Miyake, Kenta",Japanese
256252,47364,"Shimabukuro, Miyuri",Japanese
254601,40,"Noto, Mamiko",Japanese
255610,47315,"Ogino, Hazuki",Japanese
255610,62324,"AuBuchon, Jennifer",English
253853,10094,"Fukushima, Jun",Japanese
252842,16959,"Yamamoto, Itaru",Japanese
255925,35441,"Kouno, Marika",Japanese
255925,12014,"Kubota, Tamie",Japanese
251237,212,"Ono, Daisuke",Japanese
251237,8769,"Trosko, Dave",English
254170,17209,"Kubo, Yurika",Japanese
252840,11817,"Matsuoka, Yoshitsugu",Japanese
252840,19069,"Rinehart, Tyson",English
253851,15877,"Kawanishi, Kengo",Japanese
254169,13,"Kawasumi, Ayako",Japanese
254441,11784,"Uchiyama, Yumi",Japanese
245529,40903,"Kino, Hina",Japanese
245529,33051,"Wiedenheft, Sarah",English
253565,157,"Tobita, Nobuo",Japanese
253565,474,"Stoddard, Mark",English
255281,52844,"Minami, Mayu",Japanese
255281,60311,"Clayton, Robin",English
256251,195,"Inoue, Kikuko",Japanese
256251,159,"Rial, Monica",English
252517,86,"Fukuyama, Jun",Japanese
253567,160,"Koyasu, Takehito",Japanese
256254,5491,"Ono, Atsushi",Japanese
256254,480,"Elliott, R. Bruce",English
254991,12705,"Murata, Taishi",Japanese
245530,26063,"Ueda, Reina",Japanese
245530,68740,"Lundquist, Erin Nicole",English
255235,1538,"Aoyama, Yutaka",Japanese
251239,2,"Sugita, Tomokazu",Japanese
256253,39149,"Tomita, Miyu",Japanese
256253,64294,"Poppen, Kelsey",English
251236,270,"Okamoto, Nobuhiko",Japanese
251236,69494,"Loera, Branden",English
254167,761,"Genda, Tesshou",Japanese
254167,10668,"Mathis, Brian",English
253852,36479,"Hamano, Daiki",Japanese
253852,39472,"Smith, Mike",English
252516,831,Chafurin,Japanese
252516,24429,"Bryant, Ben",English
255236,7288,"Okitsu, Kazuyuki",Japanese
255236,16641,"Tindle, Austin",English
252841,20,"Konishi, Katsuyuki",Japanese
252841,67915,"Cramer, Xan",English
246845,6686,"Yuuki, Aoi",Japanese
251235,10989,"Shimazaki, Nobunaga",Japanese
251235,68749,"Negrón, Ryan",English
254602,33995,"Uchida, Yuuma",Japanese
254602,9087,"Sinclair, Ian",English
246844,31,"Nakahara, Mai",Japanese
246844,74379,"Norton, Madeleine",English
251238,43279,"Kohara, Konomi",Japanese
251238,6869,"Alyx, Jennifer",English
